Matrix Size,Execution Time (ms),Memory Used (MB),CPU Usage (%),Nodes Used,Network Overhead (ms),Data Transfer Time (ms)
50,11,1.1769638061523438,6.350488768063444,N/A,N/A,N/A
100,17,1.3504867553710938,6.350488768063444,N/A,N/A,N/A
400,146,15.371849060058594,15.92179240117394,N/A,N/A,N/A
500,246,15.462486267089844,20.329496188852435,N/A,N/A,N/A
600,462,13.389030456542969,12.259742346224044,N/A,N/A,N/A
800,896,46.88224792480469,5.756538005510259,N/A,N/A,N/A
1024,2288,68.96481323242188,21.25032194860935,N/A,N/A,N/A
2048,16225,303.9434356689453,72.55755645215672,N/A,N/A,N/A
4096,137907,692.1890563964844,42.26271908612975,N/A,N/A,N/A
