Matrix Size,Execution Time (ms),Memory Used (MB),CPU Usage (%),Nodes Used,Network Overhead (ms),Data Transfer Time (ms)
50,3,0.374969482421875,6.350488768063444,N/A,N/A,N/A
100,4,0.7256317138671875,6.350488768063444,N/A,N/A,N/A
400,88,4.521736145019531,6.350488768063444,N/A,N/A,N/A
500,479,5.725502014160156,20.329496188852435,N/A,N/A,N/A
600,931,6.0,12.259742346224044,N/A,N/A,N/A
800,1903,8.484779357910156,17.275839976031783,N/A,N/A,N/A
1024,4961,27.5972900390625,9.268608752910811,N/A,N/A,N/A
2048,87377,145.71277618408203,9.440978324907,N/A,N/A,N/A
4096,818608,117.9163589477539,9.795579661209375,N/A,N/A,N/A
