Matrix Size,Execution Time (ms),Memory Used (MB),CPU Usage (%),Nodes Used,Network Overhead (ms),Data Transfer Time (ms)
50,69,4.6819915771484375,6.350488768063444,1,1,1
100,65,6.785438537597656,6.350488768063444,1,0,0
400,135,52.861412048339844,15.92179240117394,1,0,0
500,182,53.153411865234375,20.329496188852435,1,0,0
600,282,149.7430191040039,12.259742346224044,1,0,0
800,472,252.28225708007812,5.756538005510259,1,0,0
1024,1765,244.28146362304688,21.25032194860935,1,0,0
2048,22931,1002.32177734375,72.55755645215672,1,0,0
4096,252166,3525.4202041625977,42.26271908612975,1,0,0
